reading data
reading labels
+ weight: 0.25, - weight: 0.75
0.249306 + 0.750694 = 1, predicted label = -1
0.248842 + 0.751158 = 1, predicted label = -1
0.248378 + 0.751622 = 1, predicted label = -1
0.247914 + 0.752086 = 1, predicted label = -1
0.247451 + 0.752549 = 1, predicted label = -1
0.246989 + 0.753011 = 1, predicted label = -1
0.246527 + 0.753473 = 1, predicted label = -1
0.246066 + 0.753934 = 1, predicted label = -1
0.245605 + 0.754395 = 1, predicted label = -1
0.245145 + 0.754855 = 1, predicted label = -1
0.244686 + 0.755314 = 1, predicted label = -1
0.244227 + 0.755773 = 1, predicted label = -1
0.243768 + 0.756232 = 1, predicted label = -1
0.243311 + 0.756689 = 1, predicted label = -1
0.242853 + 0.757147 = 1, predicted label = -1
0.290522 + 0.709478 = 1, predicted label = -1
0.29001 + 0.70999 = 1, predicted label = -1
0.289499 + 0.710501 = 1, predicted label = -1
0.288988 + 0.711012 = 1, predicted label = -1
0.288478 + 0.711522 = 1, predicted label = -1
0.287968 + 0.712032 = 1, predicted label = -1
0.287459 + 0.712541 = 1, predicted label = -1
0.286951 + 0.713049 = 1, predicted label = -1
0.286443 + 0.713557 = 1, predicted label = -1
0.285935 + 0.714065 = 1, predicted label = -1
0.285429 + 0.714571 = 1, predicted label = -1
0.284922 + 0.715078 = 1, predicted label = -1
0.284416 + 0.715584 = 1, predicted label = -1
0.283911 + 0.716089 = 1, predicted label = -1
0.283406 + 0.716594 = 1, predicted label = -1
0.282902 + 0.717098 = 1, predicted label = -1
0.282399 + 0.717601 = 1, predicted label = -1
0.281895 + 0.718105 = 1, predicted label = -1
0.281393 + 0.718607 = 1, predicted label = -1
0.280891 + 0.719109 = 1, predicted label = -1
0.280389 + 0.719611 = 1, predicted label = -1
0.279888 + 0.720112 = 1, predicted label = -1
0.279388 + 0.720612 = 1, predicted label = -1
0.278888 + 0.721112 = 1, predicted label = -1
0.278389 + 0.721611 = 1, predicted label = -1
0.27789 + 0.72211 = 1, predicted label = -1
0.277392 + 0.722608 = 1, predicted label = -1
0.276894 + 0.723106 = 1, predicted label = -1
0.276397 + 0.723603 = 1, predicted label = -1
0.275901 + 0.724099 = 1, predicted label = -1
0.275405 + 0.724595 = 1, predicted label = -1
0.274909 + 0.725091 = 1, predicted label = -1
0.274414 + 0.725586 = 1, predicted label = -1
0.27392 + 0.72608 = 1, predicted label = -1
0.273426 + 0.726574 = 1, predicted label = -1
0.272933 + 0.727067 = 1, predicted label = -1
0.272441 + 0.727559 = 1, predicted label = -1
0.271948 + 0.728052 = 1, predicted label = -1
0.271457 + 0.728543 = 1, predicted label = -1
0.270966 + 0.729034 = 1, predicted label = -1
0.270475 + 0.729525 = 1, predicted label = -1
0.269986 + 0.730014 = 1, predicted label = -1
0.269496 + 0.730504 = 1, predicted label = -1
0.269007 + 0.730993 = 1, predicted label = -1
0.268519 + 0.731481 = 1, predicted label = -1
0.268032 + 0.731968 = 1, predicted label = -1
0.267545 + 0.732455 = 1, predicted label = -1
0.267058 + 0.732942 = 1, predicted label = -1
0.266572 + 0.733428 = 1, predicted label = -1
0.266087 + 0.733913 = 1, predicted label = -1
0.265602 + 0.734398 = 1, predicted label = -1
0.265118 + 0.734882 = 1, predicted label = -1
0.264634 + 0.735366 = 1, predicted label = -1
0.264151 + 0.735849 = 1, predicted label = -1
0.263668 + 0.736332 = 1, predicted label = -1
0.263186 + 0.736814 = 1, predicted label = -1
0.262705 + 0.737295 = 1, predicted label = -1
0.262224 + 0.737776 = 1, predicted label = -1
0.261744 + 0.738256 = 1, predicted label = -1
0.261264 + 0.738736 = 1, predicted label = -1
0.260785 + 0.739215 = 1, predicted label = -1
0.260306 + 0.739694 = 1, predicted label = -1
0.259828 + 0.740172 = 1, predicted label = -1
0.25935 + 0.74065 = 1, predicted label = -1
0.258874 + 0.741126 = 1, predicted label = -1
0.258397 + 0.741603 = 1, predicted label = -1
0.257921 + 0.742079 = 1, predicted label = -1
0.257446 + 0.742554 = 1, predicted label = -1
0.256972 + 0.743028 = 1, predicted label = -1
0.256498 + 0.743502 = 1, predicted label = -1
0.256024 + 0.743976 = 1, predicted label = -1
0.255551 + 0.744449 = 1, predicted label = -1
0.255079 + 0.744921 = 1, predicted label = -1
0.254607 + 0.745393 = 1, predicted label = -1
0.254136 + 0.745864 = 1, predicted label = -1
0.253665 + 0.746335 = 1, predicted label = -1
0.253195 + 0.746805 = 1, predicted label = -1
0.252726 + 0.747274 = 1, predicted label = -1
0.252257 + 0.747743 = 1, predicted label = -1
0.251788 + 0.748212 = 1, predicted label = -1
0.251321 + 0.748679 = 1, predicted label = -1
0.250854 + 0.749146 = 1, predicted label = -1
0.250387 + 0.749613 = 1, predicted label = -1
0.249921 + 0.750079 = 1, predicted label = -1
0.249455 + 0.750545 = 1, predicted label = -1
0.248991 + 0.751009 = 1, predicted label = -1
0.248526 + 0.751474 = 1, predicted label = -1
0.248063 + 0.751937 = 1, predicted label = -1
0.247599 + 0.752401 = 1, predicted label = -1
0.247137 + 0.752863 = 1, predicted label = -1
0.246675 + 0.753325 = 1, predicted label = -1
0.246214 + 0.753786 = 1, predicted label = -1
0.245753 + 0.754247 = 1, predicted label = -1
0.245292 + 0.754708 = 1, predicted label = -1
0.244833 + 0.755167 = 1, predicted label = -1
0.244374 + 0.755626 = 1, predicted label = -1
0.243915 + 0.756085 = 1, predicted label = -1
0.243457 + 0.756543 = 1, predicted label = -1
0.243 + 0.757 = 1, predicted label = -1
0.242543 + 0.757457 = 1, predicted label = -1
0.290174 + 0.709826 = 1, predicted label = -1
0.289663 + 0.710337 = 1, predicted label = -1
0.289152 + 0.710848 = 1, predicted label = -1
0.288641 + 0.711359 = 1, predicted label = -1
0.288132 + 0.711868 = 1, predicted label = -1
0.287622 + 0.712378 = 1, predicted label = -1
0.287114 + 0.712886 = 1, predicted label = -1
0.286606 + 0.713394 = 1, predicted label = -1
0.286098 + 0.713902 = 1, predicted label = -1
0.285591 + 0.714409 = 1, predicted label = -1
0.285084 + 0.714916 = 1, predicted label = -1
0.284578 + 0.715422 = 1, predicted label = -1
0.284073 + 0.715927 = 1, predicted label = -1
0.283568 + 0.716432 = 1, predicted label = -1
0.283064 + 0.716936 = 1, predicted label = -1
0.28256 + 0.71744 = 1, predicted label = -1
0.282057 + 0.717943 = 1, predicted label = -1
0.281554 + 0.718446 = 1, predicted label = -1
0.281052 + 0.718948 = 1, predicted label = -1
0.28055 + 0.71945 = 1, predicted label = -1
0.280049 + 0.719951 = 1, predicted label = -1
0.279548 + 0.720452 = 1, predicted label = -1
0.279048 + 0.720952 = 1, predicted label = -1
0.278549 + 0.721451 = 1, predicted label = -1
0.27805 + 0.72195 = 1, predicted label = -1
0.277552 + 0.722448 = 1, predicted label = -1
0.277054 + 0.722946 = 1, predicted label = -1
0.276557 + 0.723443 = 1, predicted label = -1
0.27606 + 0.72394 = 1, predicted label = -1
0.275564 + 0.724436 = 1, predicted label = -1
0.275068 + 0.724932 = 1, predicted label = -1
0.274573 + 0.725427 = 1, predicted label = -1
0.274079 + 0.725921 = 1, predicted label = -1
0.273585 + 0.726415 = 1, predicted label = -1
0.273091 + 0.726909 = 1, predicted label = -1
0.272598 + 0.727402 = 1, predicted label = -1
0.272106 + 0.727894 = 1, predicted label = -1
0.271614 + 0.728386 = 1, predicted label = -1
0.271123 + 0.728877 = 1, predicted label = -1
0.270633 + 0.729367 = 1, predicted label = -1
0.270142 + 0.729858 = 1, predicted label = -1
0.269653 + 0.730347 = 1, predicted label = -1
0.269164 + 0.730836 = 1, predicted label = -1
0.268676 + 0.731324 = 1, predicted label = -1
0.268188 + 0.731812 = 1, predicted label = -1
0.267701 + 0.732299 = 1, predicted label = -1
0.267214 + 0.732786 = 1, predicted label = -1
0.266728 + 0.733272 = 1, predicted label = -1
0.266242 + 0.733758 = 1, predicted label = -1
0.265757 + 0.734243 = 1, predicted label = -1
0.265273 + 0.734727 = 1, predicted label = -1
0.264789 + 0.735211 = 1, predicted label = -1
0.264306 + 0.735694 = 1, predicted label = -1
0.263823 + 0.736177 = 1, predicted label = -1
0.263341 + 0.736659 = 1, predicted label = -1
0.262859 + 0.737141 = 1, predicted label = -1
0.262378 + 0.737622 = 1, predicted label = -1
0.261897 + 0.738103 = 1, predicted label = -1
0.261417 + 0.738583 = 1, predicted label = -1
0.260938 + 0.739062 = 1, predicted label = -1
0.260459 + 0.739541 = 1, predicted label = -1
0.259981 + 0.740019 = 1, predicted label = -1
0.259503 + 0.740497 = 1, predicted label = -1
0.259026 + 0.740974 = 1, predicted label = -1
0.25855 + 0.74145 = 1, predicted label = -1
0.258074 + 0.741926 = 1, predicted label = -1
0.257598 + 0.742402 = 1, predicted label = -1
0.257124 + 0.742876 = 1, predicted label = -1
0.256649 + 0.743351 = 1, predicted label = -1
0.256176 + 0.743824 = 1, predicted label = -1
0.255703 + 0.744297 = 1, predicted label = -1
0.25523 + 0.74477 = 1, predicted label = -1
0.254758 + 0.745242 = 1, predicted label = -1
0.254287 + 0.745713 = 1, predicted label = -1
0.253816 + 0.746184 = 1, predicted label = -1
0.253346 + 0.746654 = 1, predicted label = -1
0.252876 + 0.747124 = 1, predicted label = -1
0.252407 + 0.747593 = 1, predicted label = -1
0.251938 + 0.748062 = 1, predicted label = -1
0.251471 + 0.748529 = 1, predicted label = -1
0.251003 + 0.748997 = 1, predicted label = -1
0.250536 + 0.749464 = 1, predicted label = -1
0.25007 + 0.74993 = 1, predicted label = -1
0.249605 + 0.750395 = 1, predicted label = -1
0.24914 + 0.75086 = 1, predicted label = -1
0.248675 + 0.751325 = 1, predicted label = -1
0.248211 + 0.751789 = 1, predicted label = -1
0.247748 + 0.752252 = 1, predicted label = -1
0.247285 + 0.752715 = 1, predicted label = -1
0.246823 + 0.753177 = 1, predicted label = -1
0.246361 + 0.753639 = 1, predicted label = -1
0.2459 + 0.7541 = 1, predicted label = -1
0.24544 + 0.75456 = 1, predicted label = -1
0.24498 + 0.75502 = 1, predicted label = -1
0.244521 + 0.755479 = 1, predicted label = -1
0.244062 + 0.755938 = 1, predicted label = -1
0.243604 + 0.756396 = 1, predicted label = -1
0.243146 + 0.756854 = 1, predicted label = -1
0.242689 + 0.757311 = 1, predicted label = -1
0.242233 + 0.757767 = 1, predicted label = -1
0.289826 + 0.710174 = 1, predicted label = -1
0.289315 + 0.710685 = 1, predicted label = -1
0.288805 + 0.711195 = 1, predicted label = -1
0.288295 + 0.711705 = 1, predicted label = -1
0.287786 + 0.712214 = 1, predicted label = -1
0.287277 + 0.712723 = 1, predicted label = -1
0.286768 + 0.713232 = 1, predicted label = -1
0.286261 + 0.713739 = 1, predicted label = -1
0.285753 + 0.714247 = 1, predicted label = -1
0.285247 + 0.714753 = 1, predicted label = -1
0.28474 + 0.71526 = 1, predicted label = -1
0.284235 + 0.715765 = 1, predicted label = -1
0.28373 + 0.71627 = 1, predicted label = -1
0.283225 + 0.716775 = 1, predicted label = -1
0.282721 + 0.717279 = 1, predicted label = -1
0.282218 + 0.717782 = 1, predicted label = -1
0.281715 + 0.718285 = 1, predicted label = -1
0.281213 + 0.718787 = 1, predicted label = -1
0.280711 + 0.719289 = 1, predicted label = -1
0.280209 + 0.719791 = 1, predicted label = -1
0.279709 + 0.720291 = 1, predicted label = -1
0.279209 + 0.720791 = 1, predicted label = -1
0.278709 + 0.721291 = 1, predicted label = -1
0.27821 + 0.72179 = 1, predicted label = -1
0.277711 + 0.722289 = 1, predicted label = -1
0.277213 + 0.722787 = 1, predicted label = -1
0.276716 + 0.723284 = 1, predicted label = -1
0.276219 + 0.723781 = 1, predicted label = -1
0.275723 + 0.724277 = 1, predicted label = -1
0.275227 + 0.724773 = 1, predicted label = -1
0.274732 + 0.725268 = 1, predicted label = -1
0.274237 + 0.725763 = 1, predicted label = -1
0.273743 + 0.726257 = 1, predicted label = -1
0.273249 + 0.726751 = 1, predicted label = -1
0.272756 + 0.727244 = 1, predicted label = -1
0.272264 + 0.727736 = 1, predicted label = -1
0.271772 + 0.728228 = 1, predicted label = -1
0.27128 + 0.72872 = 1, predicted label = -1
0.27079 + 0.72921 = 1, predicted label = -1
0.270299 + 0.729701 = 1, predicted label = -1
0.26981 + 0.73019 = 1, predicted label = -1
0.269321 + 0.730679 = 1, predicted label = -1
0.268832 + 0.731168 = 1, predicted label = -1
0.268344 + 0.731656 = 1, predicted label = -1
0.267857 + 0.732143 = 1, predicted label = -1
0.26737 + 0.73263 = 1, predicted label = -1
0.266883 + 0.733117 = 1, predicted label = -1
0.266398 + 0.733602 = 1, predicted label = -1
0.265913 + 0.734087 = 1, predicted label = -1
0.265428 + 0.734572 = 1, predicted label = -1
0.264944 + 0.735056 = 1, predicted label = -1
0.26446 + 0.73554 = 1, predicted label = -1
0.263977 + 0.736023 = 1, predicted label = -1
0.263495 + 0.736505 = 1, predicted label = -1
0.263013 + 0.736987 = 1, predicted label = -1
0.262532 + 0.737468 = 1, predicted label = -1
0.262051 + 0.737949 = 1, predicted label = -1
0.261571 + 0.738429 = 1, predicted label = -1
0.261092 + 0.738908 = 1, predicted label = -1
0.260613 + 0.739387 = 1, predicted label = -1
0.260134 + 0.739866 = 1, predicted label = -1
0.259656 + 0.740344 = 1, predicted label = -1
0.259179 + 0.740821 = 1, predicted label = -1
0.258702 + 0.741298 = 1, predicted label = -1
0.258226 + 0.741774 = 1, predicted label = -1
0.257751 + 0.742249 = 1, predicted label = -1
0.257276 + 0.742724 = 1, predicted label = -1
0.256801 + 0.743199 = 1, predicted label = -1
0.256327 + 0.743673 = 1, predicted label = -1
0.255854 + 0.744146 = 1, predicted label = -1
0.255381 + 0.744619 = 1, predicted label = -1
0.254909 + 0.745091 = 1, predicted label = -1
0.254438 + 0.745562 = 1, predicted label = -1
0.253967 + 0.746033 = 1, predicted label = -1
0.253496 + 0.746504 = 1, predicted label = -1
0.253027 + 0.746973 = 1, predicted label = -1
0.252557 + 0.747443 = 1, predicted label = -1
0.252089 + 0.747911 = 1, predicted label = -1
0.25162 + 0.74838 = 1, predicted label = -1
0.251153 + 0.748847 = 1, predicted label = -1
0.250686 + 0.749314 = 1, predicted label = -1
0.25022 + 0.74978 = 1, predicted label = -1
0.249754 + 0.750246 = 1, predicted label = -1
0.249288 + 0.750712 = 1, predicted label = -1
0.248824 + 0.751176 = 1, predicted label = -1
0.24836 + 0.75164 = 1, predicted label = -1
0.247896 + 0.752104 = 1, predicted label = -1
0.247433 + 0.752567 = 1, predicted label = -1
0.246971 + 0.753029 = 1, predicted label = -1
0.246509 + 0.753491 = 1, predicted label = -1
0.246048 + 0.753952 = 1, predicted label = -1
0.245587 + 0.754413 = 1, predicted label = -1
0.245127 + 0.754873 = 1, predicted label = -1
0.244668 + 0.755332 = 1, predicted label = -1
0.244209 + 0.755791 = 1, predicted label = -1
0.243751 + 0.756249 = 1, predicted label = -1
0.243293 + 0.756707 = 1, predicted label = -1
0.242836 + 0.757164 = 1, predicted label = -1
0.242379 + 0.757621 = 1, predicted label = -1
0.241923 + 0.758077 = 1, predicted label = -1
0.289479 + 0.710521 = 1, predicted label = -1
0.288968 + 0.711032 = 1, predicted label = -1
0.288458 + 0.711542 = 1, predicted label = -1
0.287949 + 0.712051 = 1, predicted label = -1
0.28744 + 0.71256 = 1, predicted label = -1
0.286931 + 0.713069 = 1, predicted label = -1
0.286423 + 0.713577 = 1, predicted label = -1
0.285916 + 0.714084 = 1, predicted label = -1
0.285409 + 0.714591 = 1, predicted label = -1
0.284903 + 0.715097 = 1, predicted label = -1
0.284397 + 0.715603 = 1, predicted label = -1
0.283892 + 0.716108 = 1, predicted label = -1
0.283387 + 0.716613 = 1, predicted label = -1
0.282883 + 0.717117 = 1, predicted label = -1
0.282379 + 0.717621 = 1, predicted label = -1
0.281876 + 0.718124 = 1, predicted label = -1
0.281373 + 0.718627 = 1, predicted label = -1
0.280871 + 0.719129 = 1, predicted label = -1
0.28037 + 0.71963 = 1, predicted label = -1
0.279869 + 0.720131 = 1, predicted label = -1
0.279369 + 0.720631 = 1, predicted label = -1
0.278869 + 0.721131 = 1, predicted label = -1
0.27837 + 0.72163 = 1, predicted label = -1
0.277871 + 0.722129 = 1, predicted label = -1
0.277373 + 0.722627 = 1, predicted label = -1
0.276875 + 0.723125 = 1, predicted label = -1
0.276378 + 0.723622 = 1, predicted label = -1
0.275882 + 0.724118 = 1, predicted label = -1
0.275386 + 0.724614 = 1, predicted label = -1
0.27489 + 0.72511 = 1, predicted label = -1
0.274395 + 0.725605 = 1, predicted label = -1
0.273901 + 0.726099 = 1, predicted label = -1
0.273407 + 0.726593 = 1, predicted label = -1
0.272914 + 0.727086 = 1, predicted label = -1
0.272422 + 0.727578 = 1, predicted label = -1
0.271929 + 0.728071 = 1, predicted label = -1
0.271438 + 0.728562 = 1, predicted label = -1
0.270947 + 0.729053 = 1, predicted label = -1
0.270457 + 0.729543 = 1, predicted label = -1
0.269967 + 0.730033 = 1, predicted label = -1
0.269477 + 0.730523 = 1, predicted label = -1
0.268989 + 0.731011 = 1, predicted label = -1
0.2685 + 0.7315 = 1, predicted label = -1
0.268013 + 0.731987 = 1, predicted label = -1
0.267526 + 0.732474 = 1, predicted label = -1
0.267039 + 0.732961 = 1, predicted label = -1
0.266553 + 0.733447 = 1, predicted label = -1
0.266068 + 0.733932 = 1, predicted label = -1
0.265583 + 0.734417 = 1, predicted label = -1
0.265099 + 0.734901 = 1, predicted label = -1
0.264615 + 0.735385 = 1, predicted label = -1
0.264132 + 0.735868 = 1, predicted label = -1
0.26365 + 0.73635 = 1, predicted label = -1
0.263168 + 0.736832 = 1, predicted label = -1
0.262686 + 0.737314 = 1, predicted label = -1
0.262205 + 0.737795 = 1, predicted label = -1
0.261725 + 0.738275 = 1, predicted label = -1
0.261245 + 0.738755 = 1, predicted label = -1
0.260766 + 0.739234 = 1, predicted label = -1
0.260288 + 0.739712 = 1, predicted label = -1
0.259809 + 0.740191 = 1, predicted label = -1
0.259332 + 0.740668 = 1, predicted label = -1
0.258855 + 0.741145 = 1, predicted label = -1
0.258379 + 0.741621 = 1, predicted label = -1
0.257903 + 0.742097 = 1, predicted label = -1
0.257428 + 0.742572 = 1, predicted label = -1
0.256953 + 0.743047 = 1, predicted label = -1
0.256479 + 0.743521 = 1, predicted label = -1
0.256006 + 0.743994 = 1, predicted label = -1
0.255533 + 0.744467 = 1, predicted label = -1
0.255061 + 0.744939 = 1, predicted label = -1
0.254589 + 0.745411 = 1, predicted label = -1
0.254118 + 0.745882 = 1, predicted label = -1
0.253647 + 0.746353 = 1, predicted label = -1
0.253177 + 0.746823 = 1, predicted label = -1
0.252708 + 0.747292 = 1, predicted label = -1
0.252239 + 0.747761 = 1, predicted label = -1
0.25177 + 0.74823 = 1, predicted label = -1
0.251303 + 0.748697 = 1, predicted label = -1
0.250836 + 0.749164 = 1, predicted label = -1
0.250369 + 0.749631 = 1, predicted label = -1
0.249903 + 0.750097 = 1, predicted label = -1
0.249438 + 0.750562 = 1, predicted label = -1
0.248973 + 0.751027 = 1, predicted label = -1
0.248508 + 0.751492 = 1, predicted label = -1
0.248045 + 0.751955 = 1, predicted label = -1
0.247582 + 0.752418 = 1, predicted label = -1
0.247119 + 0.752881 = 1, predicted label = -1
0.246657 + 0.753343 = 1, predicted label = -1
0.246196 + 0.753804 = 1, predicted label = -1
0.245735 + 0.754265 = 1, predicted label = -1
0.245275 + 0.754725 = 1, predicted label = -1
0.244815 + 0.755185 = 1, predicted label = -1
0.244356 + 0.755644 = 1, predicted label = -1
0.243898 + 0.756102 = 1, predicted label = -1
0.24344 + 0.75656 = 1, predicted label = -1
0.242982 + 0.757018 = 1, predicted label = -1
0.242526 + 0.757474 = 1, predicted label = -1
0.242069 + 0.757931 = 1, predicted label = -1
0.241614 + 0.758386 = 1, predicted label = -1
0.289132 + 0.710868 = 1, predicted label = -1
0.288622 + 0.711378 = 1, predicted label = -1
0.288112 + 0.711888 = 1, predicted label = -1
0.287603 + 0.712397 = 1, predicted label = -1
0.287094 + 0.712906 = 1, predicted label = -1
0.286586 + 0.713414 = 1, predicted label = -1
0.286078 + 0.713922 = 1, predicted label = -1
0.285571 + 0.714429 = 1, predicted label = -1
0.285065 + 0.714935 = 1, predicted label = -1
0.284559 + 0.715441 = 1, predicted label = -1
0.284053 + 0.715947 = 1, predicted label = -1
0.283549 + 0.716451 = 1, predicted label = -1
0.283044 + 0.716956 = 1, predicted label = -1
0.28254 + 0.71746 = 1, predicted label = -1
0.282037 + 0.717963 = 1, predicted label = -1
0.281534 + 0.718466 = 1, predicted label = -1
0.281032 + 0.718968 = 1, predicted label = -1
0.280531 + 0.719469 = 1, predicted label = -1
0.28003 + 0.71997 = 1, predicted label = -1
0.279529 + 0.720471 = 1, predicted label = -1
0.279029 + 0.720971 = 1, predicted label = -1
0.27853 + 0.72147 = 1, predicted label = -1
0.278031 + 0.721969 = 1, predicted label = -1
0.277532 + 0.722468 = 1, predicted label = -1
0.277035 + 0.722965 = 1, predicted label = -1
0.276537 + 0.723463 = 1, predicted label = -1
0.276041 + 0.723959 = 1, predicted label = -1
0.275545 + 0.724455 = 1, predicted label = -1
0.275049 + 0.724951 = 1, predicted label = -1
0.274554 + 0.725446 = 1, predicted label = -1
0.274059 + 0.725941 = 1, predicted label = -1
0.273566 + 0.726434 = 1, predicted label = -1
0.273072 + 0.726928 = 1, predicted label = -1
0.272579 + 0.727421 = 1, predicted label = -1
0.272087 + 0.727913 = 1, predicted label = -1
0.271595 + 0.728405 = 1, predicted label = -1
0.271104 + 0.728896 = 1, predicted label = -1
0.270614 + 0.729386 = 1, predicted label = -1
0.270124 + 0.729876 = 1, predicted label = -1
0.269634 + 0.730366 = 1, predicted label = -1
0.269145 + 0.730855 = 1, predicted label = -1
0.268657 + 0.731343 = 1, predicted label = -1
0.268169 + 0.731831 = 1, predicted label = -1
0.267682 + 0.732318 = 1, predicted label = -1
0.267195 + 0.732805 = 1, predicted label = -1
0.266709 + 0.733291 = 1, predicted label = -1
0.266223 + 0.733777 = 1, predicted label = -1
0.265738 + 0.734262 = 1, predicted label = -1
0.265254 + 0.734746 = 1, predicted label = -1
0.26477 + 0.73523 = 1, predicted label = -1
0.264287 + 0.735713 = 1, predicted label = -1
0.263804 + 0.736196 = 1, predicted label = -1
0.263322 + 0.736678 = 1, predicted label = -1
0.26284 + 0.73716 = 1, predicted label = -1
0.262359 + 0.737641 = 1, predicted label = -1
0.261879 + 0.738121 = 1, predicted label = -1
0.261399 + 0.738601 = 1, predicted label = -1
0.26092 + 0.73908 = 1, predicted label = -1
0.260441 + 0.739559 = 1, predicted label = -1
0.259963 + 0.740037 = 1, predicted label = -1
0.259485 + 0.740515 = 1, predicted label = -1
0.259008 + 0.740992 = 1, predicted label = -1
0.258531 + 0.741469 = 1, predicted label = -1
0.258055 + 0.741945 = 1, predicted label = -1
0.25758 + 0.74242 = 1, predicted label = -1
0.257105 + 0.742895 = 1, predicted label = -1
0.256631 + 0.743369 = 1, predicted label = -1
0.256157 + 0.743843 = 1, predicted label = -1
0.255684 + 0.744316 = 1, predicted label = -1
0.255212 + 0.744788 = 1, predicted label = -1
0.25474 + 0.74526 = 1, predicted label = -1
0.254269 + 0.745731 = 1, predicted label = -1
0.253798 + 0.746202 = 1, predicted label = -1
0.253328 + 0.746672 = 1, predicted label = -1
0.252858 + 0.747142 = 1, predicted label = -1
0.252389 + 0.747611 = 1, predicted label = -1
0.25192 + 0.74808 = 1, predicted label = -1
0.251452 + 0.748548 = 1, predicted label = -1
0.250985 + 0.749015 = 1, predicted label = -1
0.250518 + 0.749482 = 1, predicted label = -1
0.250052 + 0.749948 = 1, predicted label = -1
